start logging time:	2022-03-27 22:18:36
gpus: 0
The number of trainable parameters: 8359916
Begin to train....
------------------------------------------------------------------------------------------
Epoch id:1, Training phase, Start time:2022-03-27 22:18:38
Epoch:1, Iter:123, Average loss:0.8298, Time: 868ms/batch
Epoch:1, Iter:124, Average loss:0.8286, Time: 870ms/batch
Epoch:1, Iter:125, Average loss:0.8284, Time: 869ms/batch
Epoch:1, Iter:126, Average loss:0.8281, Time: 869ms/batch
Epoch:1, Iter:127, Average loss:0.8276, Time: 870ms/batch
Epoch:1, Iter:128, Average loss:0.8270, Time: 870ms/batch
Epoch:1, Iter:129, Average loss:0.8256, Time: 870ms/batch
Epoch:1, Iter:130, Average loss:0.8259, Time: 869ms/batch
Epoch:1, Iter:131, Average loss:0.8242, Time: 869ms/batch
Epoch:1, Iter:132, Average loss:0.8218, Time: 869ms/batch
Epoch:1, Iter:133, Average loss:0.8211, Time: 869ms/batch
Epoch:1, Iter:134, Average loss:0.8199, Time: 870ms/batch
Epoch:1, Iter:135, Average loss:0.8189, Time: 869ms/batch
Epoch:1, Iter:136, Average loss:0.8170, Time: 870ms/batch
Epoch:1, Iter:137, Average loss:0.8165, Time: 871ms/batch
Epoch:1, Iter:138, Average loss:0.8165, Time: 872ms/batch
Epoch:1, Iter:139, Average loss:0.8150, Time: 872ms/batch
Epoch:1, Iter:140, Average loss:0.8146, Time: 872ms/batch
Epoch:1, Iter:141, Average loss:0.8145, Time: 871ms/batch
Epoch:1, Iter:142, Average loss:0.8132, Time: 871ms/batch
Epoch:1, Iter:143, Average loss:0.8122, Time: 872ms/batch
Epoch:1, Iter:144, Average loss:0.8112, Time: 872ms/batch
Epoch:1, Iter:145, Average loss:0.8097, Time: 872ms/batch
Epoch:1, Iter:146, Average loss:0.8083, Time: 872ms/batch
Epoch:1, Iter:147, Average loss:0.8072, Time: 871ms/batch
Epoch:1, Iter:148, Average loss:0.8057, Time: 874ms/batch
Epoch:1, Iter:149, Average loss:0.8053, Time: 876ms/batch
Epoch:1, Iter:150, Average loss:0.8045, Time: 878ms/batch
Epoch:1, Iter:151, Average loss:0.8025, Time: 880ms/batch
Epoch:1, Iter:152, Average loss:0.8012, Time: 881ms/batch
Epoch:1, Iter:153, Average loss:0.8005, Time: 882ms/batch
Epoch:1, Iter:154, Average loss:0.8003, Time: 881ms/batch
Epoch:1, Iter:155, Average loss:0.7996, Time: 881ms/batch
Epoch:1, Iter:156, Average loss:0.7980, Time: 880ms/batch
Epoch:1, Iter:157, Average loss:0.7969, Time: 880ms/batch
Epoch:1, Iter:158, Average loss:0.7965, Time: 880ms/batch
Epoch:1, Iter:159, Average loss:0.7956, Time: 880ms/batch
Epoch:1, Iter:160, Average loss:0.7948, Time: 881ms/batch
Epoch:1, Iter:161, Average loss:0.7933, Time: 882ms/batch
Epoch:1, Iter:162, Average loss:0.7930, Time: 882ms/batch
Epoch:1, Iter:163, Average loss:0.7921, Time: 882ms/batch
Epoch:1, Iter:164, Average loss:0.7913, Time: 882ms/batch
Epoch:1, Iter:165, Average loss:0.7906, Time: 882ms/batch
Epoch:1, Iter:166, Average loss:0.7901, Time: 882ms/batch
Epoch:1, Iter:167, Average loss:0.7890, Time: 883ms/batch
Epoch:1, Iter:168, Average loss:0.7888, Time: 882ms/batch
Epoch:1, Iter:169, Average loss:0.7878, Time: 882ms/batch
Epoch:1, Iter:170, Average loss:0.7865, Time: 882ms/batch
Epoch:1, Iter:171, Average loss:0.7866, Time: 881ms/batch
Epoch:1, Iter:172, Average loss:0.7863, Time: 881ms/batch
Epoch:1, Iter:173, Average loss:0.7863, Time: 882ms/batch
Epoch:1, Iter:174, Average loss:0.7863, Time: 882ms/batch
Epoch:1, Iter:175, Average loss:0.7856, Time: 882ms/batch
Epoch:1, Iter:176, Average loss:0.7849, Time: 882ms/batch
Epoch:1, Iter:177, Average loss:0.7853, Time: 881ms/batch
Epoch:1, Iter:178, Average loss:0.7849, Time: 882ms/batch
Epoch:1, Iter:179, Average loss:0.7840, Time: 882ms/batch
Epoch:1, Iter:180, Average loss:0.7827, Time: 881ms/batch
Epoch:1, Iter:181, Average loss:0.7822, Time: 881ms/batch
Epoch:1, Iter:182, Average loss:0.7814, Time: 880ms/batch
Epoch:1, Iter:183, Average loss:0.7808, Time: 880ms/batch
Epoch:1, Iter:184, Average loss:0.7800, Time: 881ms/batch
Epoch:1, Iter:185, Average loss:0.7793, Time: 881ms/batch
Epoch:1, Iter:186, Average loss:0.7788, Time: 881ms/batch
Epoch:1, Iter:187, Average loss:0.7783, Time: 881ms/batch
Epoch:1, Iter:188, Average loss:0.7786, Time: 882ms/batch
Epoch:1, Iter:189, Average loss:0.7783, Time: 882ms/batch
Epoch:1, Iter:190, Average loss:0.7776, Time: 881ms/batch
Epoch:1, Iter:191, Average loss:0.7773, Time: 881ms/batch
Epoch:1, Iter:192, Average loss:0.7764, Time: 881ms/batch
Epoch:1, Iter:193, Average loss:0.7752, Time: 880ms/batch
Epoch:1, Iter:194, Average loss:0.7748, Time: 880ms/batch
Epoch:1, Iter:195, Average loss:0.7745, Time: 879ms/batch
Epoch:1, Iter:196, Average loss:0.7738, Time: 879ms/batch
Epoch:1, Iter:197, Average loss:0.7730, Time: 879ms/batch
Epoch:1, Iter:198, Average loss:0.7728, Time: 878ms/batch
Epoch:1, Iter:199, Average loss:0.7722, Time: 878ms/batch
Epoch:1, Iter:200, Average loss:0.7718, Time: 878ms/batch
Epoch:1, Iter:201, Average loss:0.7712, Time: 877ms/batch
Epoch:1, Iter:202, Average loss:0.7708, Time: 877ms/batch
Epoch:1, Iter:203, Average loss:0.7708, Time: 877ms/batch
Epoch:1, Iter:204, Average loss:0.7700, Time: 876ms/batch
Epoch:1, Iter:205, Average loss:0.7693, Time: 876ms/batch
Epoch:1, Iter:206, Average loss:0.7679, Time: 876ms/batch
Epoch:1, Iter:207, Average loss:0.7668, Time: 877ms/batch
Epoch:1, Iter:208, Average loss:0.7666, Time: 877ms/batch
Epoch:1, Iter:209, Average loss:0.7661, Time: 877ms/batch
Epoch:1, Iter:210, Average loss:0.7655, Time: 876ms/batch
Epoch:1, Iter:211, Average loss:0.7650, Time: 876ms/batch
Epoch:1, Iter:212, Average loss:0.7639, Time: 876ms/batch
Epoch:1, Iter:213, Average loss:0.7631, Time: 876ms/batch
Epoch:1, Iter:214, Average loss:0.7625, Time: 875ms/batch
Epoch:1, Iter:215, Average loss:0.7608, Time: 875ms/batch
Epoch:1, Iter:216, Average loss:0.7598, Time: 875ms/batch
Epoch:1, Iter:217, Average loss:0.7592, Time: 875ms/batch
Epoch:1, Iter:218, Average loss:0.7584, Time: 874ms/batch
Epoch:1, Iter:219, Average loss:0.7574, Time: 874ms/batch
Epoch:1, Iter:220, Average loss:0.7564, Time: 874ms/batch
Epoch:1, Iter:221, Average loss:0.7562, Time: 874ms/batch
Epoch:1, Iter:222, Average loss:0.7552, Time: 874ms/batch
Epoch:1, Iter:223, Average loss:0.7548, Time: 874ms/batch
Epoch:1, Iter:224, Average loss:0.7537, Time: 874ms/batch
Epoch:1, Iter:225, Average loss:0.7535, Time: 873ms/batch
Epoch:1, Iter:226, Average loss:0.7529, Time: 873ms/batch
Epoch:1, Iter:227, Average loss:0.7526, Time: 873ms/batch
Epoch:1, Iter:228, Average loss:0.7516, Time: 874ms/batch
Epoch:1, Iter:229, Average loss:0.7506, Time: 873ms/batch
Epoch:1, Iter:230, Average loss:0.7497, Time: 873ms/batch
Epoch:1, Iter:231, Average loss:0.7496, Time: 873ms/batch
Epoch:1, Iter:232, Average loss:0.7487, Time: 873ms/batch
Epoch:1, Iter:233, Average loss:0.7486, Time: 872ms/batch
Epoch:1, Iter:234, Average loss:0.7479, Time: 872ms/batch
Epoch:1, Iter:235, Average loss:0.7471, Time: 872ms/batch
Epoch:1, Iter:236, Average loss:0.7462, Time: 871ms/batch
Epoch:1, Iter:237, Average loss:0.7457, Time: 871ms/batch
Epoch:1, Iter:238, Average loss:0.7453, Time: 871ms/batch
Epoch:1, Iter:239, Average loss:0.7445, Time: 870ms/batch
Epoch:1, Iter:240, Average loss:0.7435, Time: 870ms/batch
Epoch:1, Iter:241, Average loss:0.7428, Time: 870ms/batch
Epoch:1, Iter:242, Average loss:0.7421, Time: 869ms/batch
Epoch:1, Iter:243, Average loss:0.7412, Time: 869ms/batch
Epoch:1, Iter:244, Average loss:0.7408, Time: 869ms/batch
Epoch:1, Iter:245, Average loss:0.7403, Time: 868ms/batch
Epoch:1, Iter:246, Average loss:0.7398, Time: 868ms/batch
Epoch:1, Iter:247, Average loss:0.7390, Time: 868ms/batch
Epoch:1, Iter:248, Average loss:0.7385, Time: 867ms/batch
Epoch:1, Iter:249, Average loss:0.7378, Time: 867ms/batch
Epoch:1, Iter:250, Average loss:0.7376, Time: 867ms/batch
Epoch:1, Iter:251, Average loss:0.7369, Time: 867ms/batch
Epoch:1, Iter:252, Average loss:0.7358, Time: 866ms/batch
Epoch:1, Iter:253, Average loss:0.7351, Time: 866ms/batch
Epoch:1, Iter:254, Average loss:0.7343, Time: 866ms/batch
Epoch:1, Iter:255, Average loss:0.7341, Time: 865ms/batch
Epoch:1, Iter:256, Average loss:0.7334, Time: 865ms/batch
Epoch:1, Iter:257, Average loss:0.7330, Time: 865ms/batch
Epoch:1, Iter:258, Average loss:0.7326, Time: 865ms/batch
Epoch:1, Iter:259, Average loss:0.7319, Time: 864ms/batch
Epoch:1, Iter:260, Average loss:0.7313, Time: 864ms/batch
Epoch:1, Iter:261, Average loss:0.7306, Time: 864ms/batch
Epoch:1, Iter:262, Average loss:0.7297, Time: 864ms/batch
Epoch:1, Iter:263, Average loss:0.7290, Time: 863ms/batch
Epoch:1, Iter:264, Average loss:0.7285, Time: 863ms/batch
Epoch:1, Iter:265, Average loss:0.7280, Time: 863ms/batch
Epoch:1, Iter:266, Average loss:0.7276, Time: 863ms/batch
Epoch:1, Iter:267, Average loss:0.7270, Time: 862ms/batch
Epoch:1, Iter:268, Average loss:0.7262, Time: 862ms/batch
Epoch:1, Iter:269, Average loss:0.7255, Time: 862ms/batch
Epoch:1, Iter:270, Average loss:0.7255, Time: 861ms/batch
Epoch:1, Iter:271, Average loss:0.7247, Time: 861ms/batch
Epoch:1, Iter:272, Average loss:0.7243, Time: 861ms/batch
Epoch:1, Iter:273, Average loss:0.7244, Time: 861ms/batch
Epoch:1, Iter:274, Average loss:0.7242, Time: 860ms/batch
Epoch:1, Iter:275, Average loss:0.7233, Time: 861ms/batch
Epoch:1, Iter:276, Average loss:0.7224, Time: 860ms/batch
Epoch:1, Iter:277, Average loss:0.7218, Time: 860ms/batch
Epoch:1, Iter:278, Average loss:0.7218, Time: 860ms/batch
Epoch:1, Iter:279, Average loss:0.7211, Time: 860ms/batch
Epoch:1, Iter:280, Average loss:0.7208, Time: 860ms/batch
Epoch:1, Iter:281, Average loss:0.7202, Time: 860ms/batch
Epoch:1, Iter:282, Average loss:0.7196, Time: 860ms/batch
Epoch:1, Iter:283, Average loss:0.7187, Time: 860ms/batch
Epoch:1, Iter:284, Average loss:0.7176, Time: 860ms/batch
Epoch:1, Iter:285, Average loss:0.7170, Time: 860ms/batch
Epoch:1, Iter:286, Average loss:0.7163, Time: 860ms/batch
Epoch:1, Iter:287, Average loss:0.7157, Time: 860ms/batch
Epoch:1, Iter:288, Average loss:0.7151, Time: 860ms/batch
Epoch:1, Iter:289, Average loss:0.7144, Time: 860ms/batch
Epoch:1, Iter:290, Average loss:0.7144, Time: 860ms/batch
Epoch:1, Iter:291, Average loss:0.7142, Time: 859ms/batch
Epoch:1, Iter:292, Average loss:0.7137, Time: 859ms/batch
Epoch:1, Iter:293, Average loss:0.7134, Time: 859ms/batch
Epoch:1, Iter:294, Average loss:0.7129, Time: 859ms/batch
Epoch:1, Iter:295, Average loss:0.7124, Time: 859ms/batch
Epoch:1, Iter:296, Average loss:0.7118, Time: 859ms/batch
Epoch:1, Iter:297, Average loss:0.7112, Time: 859ms/batch
Epoch:1, Iter:298, Average loss:0.7109, Time: 859ms/batch
Epoch:1, Iter:299, Average loss:0.7105, Time: 859ms/batch
Epoch:1, Iter:300, Average loss:0.7106, Time: 859ms/batch
Epoch:1, Iter:301, Average loss:0.7103, Time: 859ms/batch
Epoch:1, Iter:302, Average loss:0.7102, Time: 859ms/batch
Epoch:1, Iter:303, Average loss:0.7097, Time: 859ms/batch
Epoch:1, Iter:304, Average loss:0.7097, Time: 859ms/batch
Epoch:1, Iter:305, Average loss:0.7101, Time: 859ms/batch
Epoch:1, Iter:306, Average loss:0.7096, Time: 859ms/batch
Epoch:1, Iter:307, Average loss:0.7090, Time: 859ms/batch
Epoch:1, Iter:308, Average loss:0.7082, Time: 859ms/batch
Epoch:1, Iter:309, Average loss:0.7076, Time: 859ms/batch
Epoch:1, Iter:310, Average loss:0.7068, Time: 859ms/batch
Epoch:1, Iter:311, Average loss:0.7059, Time: 859ms/batch
Epoch:1, Iter:312, Average loss:0.7054, Time: 858ms/batch
Epoch:1, Iter:313, Average loss:0.7051, Time: 858ms/batch
Epoch:1, Iter:314, Average loss:0.7045, Time: 858ms/batch
Epoch:1, Iter:315, Average loss:0.7043, Time: 859ms/batch
Epoch:1, Iter:316, Average loss:0.7039, Time: 859ms/batch
Epoch:1, Iter:317, Average loss:0.7035, Time: 859ms/batch
Epoch:1, Iter:318, Average loss:0.7029, Time: 858ms/batch
Epoch:1, Iter:319, Average loss:0.7022, Time: 859ms/batch
Epoch:1, Iter:320, Average loss:0.7020, Time: 859ms/batch
Epoch:1, Iter:321, Average loss:0.7016, Time: 858ms/batch
Epoch:1, Iter:322, Average loss:0.7011, Time: 859ms/batch
Epoch:1, Iter:323, Average loss:0.7008, Time: 859ms/batch
Epoch:1, Iter:324, Average loss:0.7004, Time: 858ms/batch
Epoch:1, Iter:325, Average loss:0.7001, Time: 858ms/batch
Epoch:1, Iter:326, Average loss:0.6994, Time: 858ms/batch
Epoch:1, Iter:327, Average loss:0.6987, Time: 858ms/batch
Epoch:1, Iter:328, Average loss:0.6984, Time: 858ms/batch
Epoch:1, Iter:329, Average loss:0.6975, Time: 859ms/batch
Epoch:1, Iter:330, Average loss:0.6969, Time: 860ms/batch
Epoch:1, Iter:331, Average loss:0.6966, Time: 860ms/batch
Epoch:1, Iter:332, Average loss:0.6962, Time: 861ms/batch
Epoch:1, Iter:333, Average loss:0.6956, Time: 861ms/batch
Epoch:1, Iter:334, Average loss:0.6951, Time: 861ms/batch
Epoch:1, Iter:335, Average loss:0.6943, Time: 861ms/batch
Epoch:1, Iter:336, Average loss:0.6935, Time: 861ms/batch
Epoch:1, Iter:337, Average loss:0.6933, Time: 861ms/batch
Epoch:1, Iter:338, Average loss:0.6932, Time: 860ms/batch
Epoch:1, Iter:339, Average loss:0.6924, Time: 860ms/batch
